,State,Year,1_Include the treatment of pain?,3_max_amount_prescription,3_1_max_amount_prescriptions_det,4_prescrib_duration,4_1_prescrib_duration_det,5_unprof_excessive_Rx,5_1_excess_Rx_factors,8_pracitioner_education,9_hc_facility_methods,10_integrative_care,11_individual_care,14_risk_benefit_before,16_PMPdata_submit,16_1_PMPdata_timeframe,17_data_other state PMP,18_PMP_pract_registration,19_prac_checkPMP,20_PMP_teach,21PMP_eval_outcomes,key2,Population,percent_male,percent_female,under_18,18-24,25-44,45-64,over_65,Mean_income,Unemployment_rate,County,FIPS County Code,Prescribing Rate,outcome1_avg,outcome2_med,outcome3_medbyyear
73,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12109,209449,0.486715143,0.513284857,0.222173417,0.077479482,0.228757359,0.296081624,0.175508119,93325,5.4,St. Johns,12109,67.3,0,0,0
74,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12051,37831,0.525045598,0.474954402,0.279136158,0.100975391,0.263381883,0.227829029,0.12867754,50399,12,Hendry,12051,77.3,0,0,0
75,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12023,67415,0.518326782,0.481673218,0.217073352,0.095305199,0.244010977,0.275042646,0.168567826,50730,7.6,Columbia,12023,130.9,0,0,0
76,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12099,1376716,0.483998878,0.516001122,0.197639891,0.08119249,0.232905697,0.263278701,0.224983221,79966,7.1,Palm Beach,12099,63.9,1,0,1
77,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12019,195645,0.492126045,0.507873955,0.246783715,0.088077896,0.250320734,0.279281351,0.135536303,73178,6.3,Clay,12019,100,1,1,1
78,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12017,138830,0.484398185,0.515601815,0.152013254,0.057840524,0.157602824,0.28745228,0.345091119,51597,9.7,Citrus,12017,109.4,0,0,0
79,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12045,15881,0.599584409,0.400415591,0.154965053,0.078332599,0.292298974,0.29506958,0.179333795,50251,6.8,Gulf,12045,138.6,0,0,0
80,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12047,14339,0.579329102,0.420670898,0.189483228,0.124973848,0.256015064,0.274775089,0.154752772,49578,8.6,Hamilton,12047,46.9,0,0,0
81,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12049,27319,0.533108825,0.466891175,0.271166587,0.107837036,0.255097185,0.222885171,0.14301402,51321,8.2,Hardee,12049,49.7,1,0,1
82,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12115,389997,0.477272902,0.522727098,0.151762706,0.060944059,0.17431929,0.278709836,0.33426411,70251,7,Sarasota,12115,88.5,0,0,1
83,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12053,173655,0.479203017,0.520796983,0.190101062,0.070248481,0.195231925,0.273231407,0.271187124,50957,9,Hernando,12053,107.2,1,1,1
84,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12055,98088,0.486532501,0.513467499,0.178676291,0.066226246,0.177565044,0.241313922,0.336218498,46645,9.5,Highlands,12055,80.2,0,0,0
